City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,pontianak,-0.0333,109.3333,28.99,79,75,1.54,ID,1676170745
323,roald,62.5833,6.1333,10.42,87,100,10.8,NO,1676170745
324,airai,-8.9266,125.4092,19.91,81,94,1.92,TL,1676170746
325,alyangula,-13.8483,136.4192,27.97,80,100,3.16,AU,1676170746
326,jalu,29.0331,21.5482,12.11,48,100,5.08,LY,1676170747
327,amahai,-3.3333,128.9167,31.26,58,79,1.42,ID,1676170747
328,nijar,36.9665,-2.206,10.92,58,100,5.66,ES,1676170747
329,lasa,46.6166,10.7002,3.49,74,9,2.62,IT,1676170748
330,synya,65.3718,58.0387,-6.93,93,100,5.06,RU,1676170748
331,alta floresta,-9.8756,-56.0861,21.63,96,52,0.62,BR,1676170749
332,khash,28.2211,61.2158,3.93,50,100,2.65,IR,1676170749
333,beyneu,45.3167,55.2,-6.29,79,95,4.37,KZ,1676170750
334,benguela,-12.5763,13.4055,23.18,76,25,0.64,AO,1676170750
335,claremore,36.3126,-95.6161,6.98,70,0,0.0,US,1676170611
336,amuntai,-2.4177,115.2494,30.77,64,100,0.18,ID,1676170751
337,springdale,36.1867,-94.1288,4.07,57,0,0.0,US,1676170751
338,mlimba,-8.8,35.8167,21.52,99,100,0.91,TZ,1676170752
339,torrington,41.8007,-73.1212,-0.17,75,48,1.49,US,1676170470
340,san patricio,28.017,-97.5169,13.92,55,29,3.22,US,1676170395
341,hachinohe,40.5,141.5,3.6,96,100,4.37,JP,1676170752
342,trelew,-43.249,-65.3051,22.41,30,69,0.75,AR,1676170657
343,raga,8.4596,25.678,22.14,25,5,1.75,SS,1676170242
344,ust-nera,64.5667,143.2,-28.45,94,100,1.91,RU,1676170753
345,boffa,10.1667,-14.0333,23.61,81,48,1.87,GN,1676170754
346,muravlenko,63.7898,74.523,-13.76,92,100,9.03,RU,1676170754
347,kondagaon,19.6,81.6667,23.78,24,39,2.82,IN,1676170755
348,pandan,14.0453,124.1694,27.14,76,33,6.49,PH,1676170755
349,bacalar,18.6667,-88.3833,20.43,95,53,4.57,MX,1676170755
350,olinda,-8.0089,-34.8553,26.85,69,40,2.06,BR,1676170756
351,raton,36.9034,-104.4391,3.34,33,0,5.14,US,1676170756
352,nueva loja,0.0847,-76.8828,21.56,96,73,0.36,EC,1676170757
353,sisimiut,66.9395,-53.6735,-29.21,95,60,3.16,GL,1676170757
354,ust-kuyga,70.0167,135.6,-46.11,98,84,2.1,RU,1676170758
355,ginir,7.1333,40.7,11.87,34,0,2.62,ET,1676170758
356,tahlequah,35.9154,-94.97,6.6,75,0,0.0,US,1676170758
357,lima,-12.0432,-77.0282,24.39,78,20,6.69,PE,1676170200
358,manggar,-2.8833,108.2667,26.8,79,100,4.37,ID,1676170759
359,havoysund,70.9963,24.6622,1.13,59,100,3.48,NO,1676170759
360,chapais,49.7834,-74.8492,-7.12,95,100,5.47,CA,1676170760
361,kanata,45.3159,-75.8985,-0.88,77,75,7.72,CA,1676170760
